  247                        10 53 42.1   -70 43 12    5.99  W      star B6V
  248 Gam2Vol                07 08 45.0   -70 29 56    3.78  W      star K0III
  249 Gam1Vol                07 08 42.2   -70 29 50    5.69  W      star F2V
  250                        06 44 56.1   -70 26 02    6.11         star K3III
  251                        13 25 50.1   -70 37 39    5.67         star A0
  252 Rho Ind                22 54 39.4   -70 04 25    6.05         star G2IV
  253                        09 05 38.4   -70 32 19    4.71         star B2IV
  254 Omi Pav                21 13 20.5   -70 07 35    5.02         star M1III
  255 The Vol                08 39 05.2   -70 23 12    5.20  W      star A0V
  256                        13 38 45.7   -70 26 42    6.10         star K3III
  257 Iot Aps                17 22 05.9   -70 07 24    5.41  W      star B9V
  258                        14 10 30.9   -70 18 20    6.05  W      star K4II
  259                        15 40 11.5   -70 13 40    6.44         star A1V
  260                        17 20 12.8   -70 02 43    6.53  W      star G0IV
  261 Zet TrA                16 28 28.1   -70 05 04    4.91         star F9V
  262 Pi 1Dor                06 22 38.3   -69 59 03    5.56         star K5III
  263                        21 24 16.7   -69 44 03    6.41        Star unclass
  264                        11 49 56.6   -70 13 33    4.97         star G6I
  265                        08 27 17.0   -70 05 36    5.53         star A0V
  266 Pi  Tuc                00 20 39.0   -69 37 30    5.51         star B9V
  267                        15 14 19.1   -70 04 46    5.81        Star unclass
  268                        12 12 46.8   -70 09 07    6.17         star F6I
  269 Omi Ind                21 50 47.1   -69 37 46    5.53         star K2III
  270                        03 24 02.5   -69 37 29    6.15         star G0V
  271 Lam2Tuc                00 55 00.3   -69 31 37    5.45         star K2III
  272 Ome Car                10 13 44.2   -70 02 17    3.32         star B8III
  273                        20 35 51.7   -69 36 40    6.11         star K2III
  274 Lam1Tuc                00 52 24.3   -69 30 16    6.22  W      star F7IV
  275                        21 28 44.9   -69 30 19    5.34         star M5III
  276                        07 44 13.1   -69 49 17    6.18         star A0IV
  277                        13 11 51.6   -69 56 31    5.91  W      star F3IV
  278 Pi 2Dor                06 25 28.7   -69 41 25    5.38         star G8III
  279                        03 25 36.2   -69 20 11    5.96         star F3IV
  280 Bet Car                09 13 12.0   -69 43 02    1.68         star A2IV
  281                        14 11 01.9   -69 43 11    6.06         star A6IV
  282                        03 07 49.2   -69 15 56    6.15         star K1III
  283                        13 15 25.7   -69 40 47    6.37         star K2III
  284                        13 28 46.4   -69 37 41    6.20         star A0
  285                        19 58 41.3   -69 09 50    5.75         star A0
  286 Tau Pav                19 16 28.5   -69 11 26    6.27         star A6IV
  287                        16 59 33.8   -69 16 05    5.79         star A0
  288                        13 51 47.4   -69 24 05    5.75         star K5III
  289 Kap Tuc                01 15 46.1   -68 52 34    4.86  W      star F6IV
  290                        12 42 05.1   -69 24 27    6.33         star F7I
  291                        23 04 52.2   -68 49 13    5.52         star F4III
  292 Sig Pav                20 49 18.1   -68 46 35    5.41         star K0III
  293 Alp TrA                16 48 39.9   -69 01 40    1.92         star K2II
  294                        12 02 37.7   -69 11 31    5.89         star B9V
  295                        19 58 53.0   -68 45 44    6.39         star A0V
  296 Del Hyi                02 21 44.9   -68 39 34    4.09         star A3V
  297                        09 56 59.7   -69 06 06    6.20         star B3V
  298 Alp Mus                12 37 11.0   -69 08 07    2.69  W      star B2IV
  299 Nu  Dor                06 08 44.2   -68 50 36    5.06         star B8V
  300                        19 03 29.7   -68 45 18    5.88  W      star F8V
  301                        07 06 14.1   -68 50 14    6.47         star K0III
  302                        23 47 23.3   -68 23 39    6.89         star F2V
  303                        05 27 00.0   -68 37 22    6.03  W      star F0IV
  304                        12 45 01.7   -68 49 52    6.16         star F6I
  305                        19 31 10.9   -68 26 02    5.96         star K4III
  306                        19 09 52.7   -68 25 29    5.33         star G8III
  307 Gam TrA                15 18 54.6   -68 40 45    2.89         star A1V
  308                        09 01 08.5   -68 41 02    5.88         star M1III
  309 Eps Hyi                02 39 35.4   -68 16 01    4.11         star B9V
  310                        09 17 17.2   -68 41 22    5.39  W      star F4V
  311 Eps Vol                08 07 55.8   -68 37 02    4.35  W      star B6IV
  312                        19 24 05.4   -68 22 16    6.34         star K2III
  313 Kap TrA                15 55 29.6   -68 36 11    5.09         star G5II
  314                        10 09 30.5   -68 40 59    5.81  W      star A0IV
  315                        21 01 28.1   -68 12 35    6.37         star A2V
  316                        12 06 19.8   -68 39 03    6.23         star G3I
  317                        18 18 00.9   -68 13 45    6.33  W      star B9V
  318 Eta1TrA                16 41 23.3   -68 17 45    5.91         star B7IV
  319                        15 26 14.7   -68 18 33    5.89  W      star G8III
  320 Pi 1Hyi                02 14 14.7   -67 50 30    5.55         star M1III
  321                        12 04 38.7   -68 19 45    5.35         star A0IV
  322 Zet1Mus                12 22 11.9   -68 18 27    5.74         star K0III
  323                        08 43 54.3   -68 12 41    6.32         star K3III
  324 Pi 2Hyi                02 15 28.5   -67 44 47    5.69         star K2III
  325                        14 25 06.3   -68 11 43    5.61         star A3I
  326 Eta2Hyi                01 54 56.1   -67 38 50    4.69         star G8III
  327 Del Vol                07 16 49.8   -67 57 26    3.98         star F6II
  328                        06 59 50.5   -67 54 58    5.17         star K3III
  329 Bet Mus                12 46 16.9   -68 06 29    3.05  W      star B2V
  330 Zet Hyi                02 45 32.6   -67 37 00    4.84         star A2IV
  331                        16 17 05.5   -67 56 29    5.75         star A4V
  332                        22 28 37.7   -67 29 21    5.55         star A4V
  333                        23 18 20.0   -67 28 16    6.13         star K2III
  334 Zet Aps                17 21 59.4   -67 46 14    4.78         star K2III
  335                        14 37 46.3   -67 55 56    6.04         star F7V
  336 Eps Mus                12 17 34.1   -67 57 39    4.11         star M5III
  337 Eta Mus                13 15 14.9   -67 53 40    4.80  W      star B8V
  338                        16 52 17.4   -67 40 55    6.32         star K2III
  339                        11 17 19.0   -67 49 25    6.06  W      star M2III
  340                        14 31 16.5   -67 43 02    5.83  W      star K1III
  341                        20 05 32.8   -67 19 14    6.07         star G3V
  342                        13 54 48.9   -67 39 09    5.71         star K2III
  343                        12 23 13.8   -67 37 53    6.36         star G8IV
  344                        11 37 48.4   -67 37 12    5.96         star K0III
  345                        16 43 22.1   -67 25 56    6.03         star A0V
  346                        15 20 40.7   -67 28 52    6.28  W      star B3V
  347 Kap Pav                18 56 57.0   -67 14 01    4.44         star F5I
  348 Zet2Mus                12 22 07.3   -67 31 19    5.15  W      star A5V
  349 The Dor                05 13 45.4   -67 11 07    4.83         star K2III
  350                        17 13 17.5   -67 11 48    5.89  W      star K0III
  351                        23 10 11.7   -66 51 27    6.47         star K0III
  352                        03 17 59.0   -66 55 37    6.05         star A3V
  353 Mu 1Pav                20 00 23.0   -66 56 58    5.76         star K0III
  354 Mu 2Pav                20 01 52.4   -66 56 39    5.31         star K2IV
  355                        16 46 40.0   -67 06 34    5.13  W      star A0
  356 Ups Pav                20 41 57.1   -66 45 39    5.15         star B9III
  357                        19 49 53.3   -66 48 46    6.45         star K4III
  358                        02 43 26.6   -66 42 52    6.26  W      star F5V
  359                        12 38 52.5   -67 11 35    6.25  W      star B1I
  360 Eps Dor                05 49 53.6   -66 54 04    5.11         star B6V
  361                        15 09 29.9   -67 05 03    5.76         star F6II
  362                        23 27 07.2   -66 34 52    6.45         star K4III
  363                        09 17 51.7   -67 03 03    6.11         star K2III
  364                        19 39 52.1   -66 41 08    6.39  W      star A1V
  365                        04 53 30.5   -66 40 32    6.41         star M0III
  366                        19 17 12.0   -66 39 40    5.53  W      star A5V
  367                        10 30 08.7   -66 59 06    6.19         star B4IV
  368                        19 00 03.5   -66 39 12    6.01         star K0III
  369                        02 25 26.3   -66 29 41    6.41         star M5III
  370                        11 32 19.9   -66 57 43    5.90         star K1III
  371                        01 17 03.6   -66 23 53    6.24  W      star A0V
  372                        03 30 51.6   -66 29 23    5.83         star B8V
  373                        10 22 58.1   -66 54 05    4.99         star B8V
  374                        08 50 34.8   -66 47 35    5.35  W      star F5IV
  375                        05 36 54.7   -66 33 37    6.31         star B9V
  376 Mu  Mus                11 48 14.3   -66 48 53    4.72         star K4III
  377                        13 17 13.0   -66 47 01    4.87         star K2I
  378                        20 08 20.5   -66 21 17    6.45         star K5III
  379                        09 31 32.9   -66 43 10    6.27         star K1III
  380                        09 28 30.6   -66 42 07    5.91         star A0V
  381 Lam Mus                11 45 36.4   -66 43 43    3.64  W      star A7III
  382                        14 48 44.4   -66 35 38    5.91  W      star B2V
  383 Bet Pav                20 44 57.5   -66 12 11    3.42         star A7III
  384                        14 16 38.6   -66 35 16    5.75  W      star B1III
  385 Del Pav                20 08 43.6   -66 10 55    3.56         star G6IV
  386                        01 59 41.1   -66 03 59    6.10         star K1III
  387                        12 39 55.6   -66 30 42    6.26         star B8V
  388 Alp Vol                09 02 26.8   -66 23 46    4.00         star A2IV
  389 Eps TrA                15 36 43.2   -66 19 01    4.11  W      star K1III
  390                        10 13 30.6   -66 22 23    5.16         star A0
  391                        07 49 41.0   -66 11 45    5.79         star B9V
  392 Eta1Dor                06 06 09.4   -66 02 23    5.71         star A0V
  393                        14 00 52.2   -66 16 07    5.97  W      star F2III
  394 Bet Vol                08 25 44.2   -66 08 13    3.77         star K1III
  395                        19 41 37.5   -65 51 15    6.09         star M0III
  396                        13 12 48.9   -66 13 37    5.90         star A0V
  397                        07 44 43.9   -66 04 19    6.38         star G6III
  398                        14 25 39.5   -66 10 24    6.36         star A3V
  399                        03 34 24.7   -65 45 52    6.75         star A3V
  400 Eps Tuc                23 59 55.0   -65 34 38    4.50         star B9IV
  401 Zet Cir                14 54 42.4   -65 59 29    6.09         star B3V
  402 Del Dor                05 44 46.4   -65 44 08    4.35         star A7V
  403 Rho Tuc                00 42 28.4   -65 28 05    5.39         star F6V
  404                        19 51 01.3   -65 36 18    6.05         star F2III
  405                        01 02 42.9   -65 27 22    6.21         star M2III
  406                        01 57 53.6   -65 25 28    6.37         star G8II
  407                        08 44 30.0   -65 49 32    6.05         star A4V
  408                        14 27 07.1   -65 49 17    5.85         star K3III
  409 Gam Pav                21 26 26.6   -65 21 58    4.22         star F6V
  410 Eta2Dor                06 11 15.0   -65 35 22    5.01         star M2III
  411                        10 08 42.6   -65 48 55    5.28  W      star K0III
  412                        12 20 28.0   -65 50 34    6.21         star B9V
  413                        13 58 31.2   -65 48 02    6.20  W      star K0III
  414                        06 30 03.0   -65 34 06    6.29         star F0III
  415                        12 25 17.3   -65 46 14    6.30         star G8IV
  416                        17 53 18.4   -65 29 21    6.49         star K0III
  417                        08 18 18.9   -65 36 48    5.07         star K1III
  418                        10 27 25.3   -65 42 16    6.01         star A2V
  419                        15 36 17.4   -65 36 48    6.51  W      star F3IV
  420                        12 06 23.1   -65 42 32    6.06  W      star G8III
  421                        12 17 06.0   -65 41 33    6.06         star A0V
  422                        00 36 37.4   -65 07 29    6.42         star K2III
  423 The TrA                16 35 44.8   -65 29 43    5.52         star G8III
  424                        13 33 35.7   -65 37 57    6.37         star A0V
  425                        16 51 53.9   -65 22 31    6.13         star B8II
  426                        15 47 53.6   -65 26 32    6.18  W      star A5III
  427                        15 47 53.7   -65 26 32    6.39  W      star F0IV
  428                        12 05 53.2   -65 32 50    6.33         star B6I
  429 Del Tuc                22 27 20.0   -64 57 59    4.48  W      star B9V
  430 Zet Tuc                00 20 04.3   -64 52 29    4.23         star F9V
  431 The Pav                18 48 37.8   -65 04 40    5.73         star A8V
  432                        11 39 29.4   -65 23 51    5.17  W      star G2III
  433                        15 07 56.8   -65 16 31    6.17         star K3III
  434                        21 38 02.9   -64 49 27    6.20         star A0IV
  435 The Mus                13 08 07.0   -65 18 22    5.51  W      star B0I
  436                        15 52 56.7   -65 09 09    6.54         star A5IV
  437                        23 35 12.7   -64 41 22    7.40  W      star F2IV
